ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
8411,2009,Cerebrovascular diseases (I60-I69),Stroke,Washington,2591,38.6
8412,2008,Cerebrovascular diseases (I60-I69),Stroke,Washington,2773,42.3
8413,2007,Cerebrovascular diseases (I60-I69),Stroke,Washington,2692,42.1
8414,2006,Cerebrovascular diseases (I60-I69),Stroke,Washington,2725,43.6
8415,2005,Cerebrovascular diseases (I60-I69),Stroke,Washington,2895,48.1
8416,2004,Cerebrovascular diseases (I60-I69),Stroke,Washington,3243,55.1
8417,2003,Cerebrovascular diseases (I60-I69),Stroke,Washington,3595,62.4
8418,2002,Cerebrovascular diseases (I60-I69),Stroke,Washington,3753,66.6
8419,2001,Cerebrovascular diseases (I60-I69),Stroke,Washington,3765,68.1
8420,2000,Cerebrovascular diseases (I60-I69),Stroke,Washington,3714,68.7
8421,1999,Cerebrovascular diseases (I60-I69),Stroke,Washington,3718,69.9
8422,2016,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1039,41.7
8423,2015,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1079,43.8
8424,2014,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1103,45.3
8425,2013,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,983,40.7
8426,2012,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1140,47.9
8427,2011,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1049,44.8
8428,2010,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1104,47.8
8429,2009,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1073,46.7
8430,2008,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1096,48.3
8431,2007,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1113,49.7
8432,2006,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1072,48.5
8433,2005,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1151,53.2
8434,2004,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1178,54.8
8435,2003,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1309,61.2
8436,2002,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1260,59.3
8437,2001,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1272,60.1
8438,2000,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1296,61.3
8439,1999,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1323,63.1
8440,2016,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2481,33.3
8441,2015,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2618,35.6
8442,2014,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2511,34.6
8443,2013,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2536,36
8444,2012,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2520,36
8445,2011,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2554,37.2
8446,2010,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2609,38.8
8447,2009,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2501,37.7
8448,2008,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2638,40.1
8449,2007,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2738,42.6
8450,2006,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2829,44.6
8451,2005,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2960,47.4
8452,2004,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,3071,50
8453,2003,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,3216,53.1
8454,2002,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,3479,58.4
8455,2001,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,3658,62.4
8456,2000,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,3598,62.2
8457,1999,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,3869,67.5
8458,2016,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,208,31.7
8459,2015,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,198,31.4
8460,2014,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,189,30.2
8461,2013,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,213,35.1
8462,2012,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,205,34.9
8463,2011,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,214,37.2
8464,2010,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,204,37.2
8465,2009,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,233,42.6
8466,2008,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,234,44.4
8467,2007,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,209,40.5
8468,2006,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,236,46.5
8469,2005,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,221,45.1
8470,2004,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,214,44.2
8471,2003,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,253,53.9
8472,2002,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,243,52.8
8473,2001,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,260,56.7
8474,2000,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,260,58.3
8475,1999,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,265,60.7
8476,2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,788,15.7
8477,2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,750,14.9
8478,2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,715,14.5
8479,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,721,14.4
8480,2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,724,14.7
8481,2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,654,13.2
8482,2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,679,14
8483,2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,673,13.7
8484,2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,604,12.6
8485,2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,592,12.4
8486,2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,580,12.4
8487,2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,535,11.5
8488,2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,541,11.7
8489,2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,521,11.4
8490,2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,514,11.5
8491,2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,512,11.4
8492,2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,583,13.1
8493,1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,555,12.5
8494,2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,193,25.8
8495,2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,201,26.9
8496,2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,167,22.1
8497,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,171,23.2
8498,2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,168,23
8499,2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,143,20
8500,2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,164,22.8
8501,2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,143,20
8502,2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,169,24.4
8503,2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,149,22.6
8504,2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,135,19.9
8505,2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,131,19.9
